,Category,DayOfWeek,Count
146,OTHER OFFENSES,Friday,2974
147,OTHER OFFENSES,Monday,2806
148,OTHER OFFENSES,Saturday,2583
149,OTHER OFFENSES,Sunday,2455
150,OTHER OFFENSES,Thursday,2752
151,OTHER OFFENSES,Tuesday,2988
152,OTHER OFFENSES,Wednesday,3041
153,PORNOGRAPHY/OBSCENE MAT,Monday,1
154,PORNOGRAPHY/OBSCENE MAT,Saturday,1
155,PORNOGRAPHY/OBSCENE MAT,Tuesday,1
156,PORNOGRAPHY/OBSCENE MAT,Wednesday,1
157,PROSTITUTION,Friday,136
158,PROSTITUTION,Monday,21
159,PROSTITUTION,Saturday,47
160,PROSTITUTION,Sunday,17
161,PROSTITUTION,Thursday,354
162,PROSTITUTION,Tuesday,29
163,PROSTITUTION,Wednesday,37
164,RECOVERED VEHICLE,Friday,108
165,RECOVERED VEHICLE,Monday,111
166,RECOVERED VEHICLE,Saturday,78
167,RECOVERED VEHICLE,Sunday,66
168,RECOVERED VEHICLE,Thursday,122
169,RECOVERED VEHICLE,Tuesday,135
170,RECOVERED VEHICLE,Wednesday,116
171,ROBBERY,Friday,459
172,ROBBERY,Monday,462
173,ROBBERY,Saturday,510
174,ROBBERY,Sunday,513
175,ROBBERY,Thursday,463
176,ROBBERY,Tuesday,437
177,ROBBERY,Wednesday,455
178,RUNAWAY,Friday,15
179,RUNAWAY,Monday,26
180,RUNAWAY,Saturday,18
181,RUNAWAY,Sunday,16
182,RUNAWAY,Thursday,20
183,RUNAWAY,Tuesday,25
184,RUNAWAY,Wednesday,20
185,SECONDARY CODES,Friday,271
186,SECONDARY CODES,Monday,260
187,SECONDARY CODES,Saturday,235
188,SECONDARY CODES,Sunday,261
189,SECONDARY CODES,Thursday,263
190,SECONDARY CODES,Tuesday,278
191,SECONDARY CODES,Wednesday,273
192,"SEX OFFENSES, FORCIBLE",Friday,140
193,"SEX OFFENSES, FORCIBLE",Monday,111
194,"SEX OFFENSES, FORCIBLE",Saturday,169
195,"SEX OFFENSES, FORCIBLE",Sunday,135
196,"SEX OFFENSES, FORCIBLE",Thursday,159
197,"SEX OFFENSES, FORCIBLE",Tuesday,128
198,"SEX OFFENSES, FORCIBLE",Wednesday,98
199,"SEX OFFENSES, NON FORCIBLE",Friday,3
200,"SEX OFFENSES, NON FORCIBLE",Monday,1
201,"SEX OFFENSES, NON FORCIBLE",Saturday,6
202,"SEX OFFENSES, NON FORCIBLE",Sunday,4
203,"SEX OFFENSES, NON FORCIBLE",Thursday,12
204,"SEX OFFENSES, NON FORCIBLE",Tuesday,8
205,"SEX OFFENSES, NON FORCIBLE",Wednesday,6
206,STOLEN PROPERTY,Friday,113
207,STOLEN PROPERTY,Monday,145
208,STOLEN PROPERTY,Saturday,97
209,STOLEN PROPERTY,Sunday,144
210,STOLEN PROPERTY,Thursday,110
211,STOLEN PROPERTY,Tuesday,135
212,STOLEN PROPERTY,Wednesday,138
213,SUICIDE,Friday,12
214,SUICIDE,Monday,12
215,SUICIDE,Saturday,11
216,SUICIDE,Sunday,13
217,SUICIDE,Thursday,6
218,SUICIDE,Tuesday,9
219,SUICIDE,Wednesday,6
220,SUSPICIOUS OCC,Friday,836
221,SUSPICIOUS OCC,Monday,826
222,SUSPICIOUS OCC,Saturday,809
223,SUSPICIOUS OCC,Sunday,749
224,SUSPICIOUS OCC,Thursday,853
225,SUSPICIOUS OCC,Tuesday,870
226,SUSPICIOUS OCC,Wednesday,839
227,TREA,Friday,1
228,TREA,Monday,1
229,TREA,Tuesday,1
230,TRESPASS,Friday,267
231,TRESPASS,Monday,265
232,TRESPASS,Saturday,225
233,TRESPASS,Sunday,198
234,TRESPASS,Thursday,253
235,TRESPASS,Tuesday,290
236,TRESPASS,Wednesday,314
237,VANDALISM,Friday,1350
238,VANDALISM,Monday,1205
239,VANDALISM,Saturday,1322
240,VANDALISM,Sunday,1273
241,VANDALISM,Thursday,1135
242,VANDALISM,Tuesday,1134
243,VANDALISM,Wednesday,1170
244,VEHICLE THEFT,Friday,999
245,VEHICLE THEFT,Monday,903
246,VEHICLE THEFT,Saturday,936
247,VEHICLE THEFT,Sunday,915
248,VEHICLE THEFT,Thursday,856
249,VEHICLE THEFT,Tuesday,881
250,VEHICLE THEFT,Wednesday,929
251,WARRANTS,Friday,826
252,WARRANTS,Monday,808
253,WARRANTS,Saturday,822
254,WARRANTS,Sunday,718
255,WARRANTS,Thursday,905
256,WARRANTS,Tuesday,908
257,WARRANTS,Wednesday,927
258,WEAPON LAWS,Friday,271
259,WEAPON LAWS,Monday,223
260,WEAPON LAWS,Saturday,200
261,WEAPON LAWS,Sunday,246
262,WEAPON LAWS,Thursday,227
263,WEAPON LAWS,Tuesday,222
264,WEAPON LAWS,Wednesday,269
